id,year,field
OGLE-2011-BLG-0163,2011,blg
OGLE-2011-BLG-0162,2011,blg
OGLE-2011-BLG-0164,2011,blg
OGLE-2011-BLG-0165,2011,blg
OGLE-2011-BLG-0166,2011,blg
OGLE-2011-BLG-0167,2011,blg
OGLE-2011-BLG-0168,2011,blg
OGLE-2011-BLG-0170,2011,blg
OGLE-2011-BLG-0169,2011,blg
OGLE-2011-BLG-0171,2011,blg
OGLE-2011-BLG-0172,2011,blg
OGLE-2011-BLG-0174,2011,blg
OGLE-2011-BLG-0173,2011,blg
OGLE-2011-BLG-0176,2011,blg
OGLE-2011-BLG-0180,2011,blg
OGLE-2011-BLG-0177,2011,blg
OGLE-2011-BLG-0178,2011,blg
OGLE-2011-BLG-0179,2011,blg
OGLE-2011-BLG-0175,2011,blg
OGLE-2011-BLG-0181,2011,blg
OGLE-2011-BLG-0183,2011,blg
OGLE-2011-BLG-0182,2011,blg
OGLE-2011-BLG-0185,2011,blg
OGLE-2011-BLG-0187,2011,blg
OGLE-2011-BLG-0186,2011,blg
OGLE-2011-BLG-0188,2011,blg
OGLE-2011-BLG-0190,2011,blg
OGLE-2011-BLG-0189,2011,blg
OGLE-2011-BLG-0191,2011,blg
OGLE-2011-BLG-0195,2011,blg
OGLE-2011-BLG-0192,2011,blg
OGLE-2011-BLG-0194,2011,blg
OGLE-2011-BLG-0196,2011,blg
OGLE-2011-BLG-0197,2011,blg
OGLE-2011-BLG-0198,2011,blg
OGLE-2011-BLG-0199,2011,blg
OGLE-2011-BLG-0200,2011,blg
OGLE-2011-BLG-0201,2011,blg
OGLE-2011-BLG-0203,2011,blg
OGLE-2011-BLG-0202,2011,blg
OGLE-2011-BLG-0206,2011,blg
OGLE-2011-BLG-0204,2011,blg
OGLE-2011-BLG-0205,2011,blg
OGLE-2011-BLG-0207,2011,blg
OGLE-2011-BLG-0208,2011,blg
OGLE-2011-BLG-0210,2011,blg
OGLE-2011-BLG-0209,2011,blg
OGLE-2011-BLG-0211,2011,blg
OGLE-2011-BLG-0214,2011,blg
OGLE-2011-BLG-0213,2011,blg
OGLE-2011-BLG-0212,2011,blg
OGLE-2011-BLG-0215,2011,blg
OGLE-2011-BLG-0217,2011,blg
OGLE-2011-BLG-0216,2011,blg
OGLE-2011-BLG-0220,2011,blg
OGLE-2011-BLG-0218,2011,blg
OGLE-2011-BLG-0222,2011,blg
OGLE-2011-BLG-0221,2011,blg
OGLE-2011-BLG-0219,2011,blg
OGLE-2011-BLG-0224,2011,blg
OGLE-2011-BLG-0225,2011,blg
OGLE-2011-BLG-0226,2011,blg
OGLE-2011-BLG-0228,2011,blg
OGLE-2011-BLG-0229,2011,blg
OGLE-2011-BLG-0230,2011,blg
OGLE-2011-BLG-0231,2011,blg
OGLE-2011-BLG-0232,2011,blg
OGLE-2011-BLG-0233,2011,blg
OGLE-2011-BLG-0234,2011,blg
OGLE-2011-BLG-0235,2011,blg
OGLE-2011-BLG-0236,2011,blg
OGLE-2011-BLG-0237,2011,blg
OGLE-2011-BLG-0238,2011,blg
OGLE-2011-BLG-0241,2011,blg
OGLE-2011-BLG-0244,2011,blg
OGLE-2011-BLG-0239,2011,blg
